Dataset,Model,True_Value,Prediction,Residual
SST,Emobloom-7b,0.19444,0.226,-0.031560000000000005
SST,Emobloom-7b,0.13889,0.375,-0.23611
SST,Emobloom-7b,0.36111,0.419,-0.05789
SST,Emobloom-7b,0.40278,0.328,0.07478000000000001
SST,Emobloom-7b,0.33333,0.033,0.30033
SST,Emobloom-7b,0.26389,0.426,-0.16210999999999998
SST,Emobloom-7b,0.77778,0.766,0.011780000000000013
SST,Emobloom-7b,0.22221999999999995,0.34,-0.11778000000000008
SST,Emobloom-7b,0.40278,0.4,0.0027800000000000047
SST,Emobloom-7b,0.27778,0.359,-0.08121999999999996
SST,Emobloom-7b,0.16667,0.229,-0.062329999999999997
SST,Emobloom-7b,0.55556,0.433,0.12256000000000006
SST,Emobloom-7b,0.125,0.5,-0.375
SST,Emobloom-7b,0.4305600000000001,0.379,0.051560000000000106
SST,Emobloom-7b,0.54167,0.357,0.18467
SST,Emobloom-7b,0.29167,0.323,-0.031330000000000024
SST,Emobloom-7b,0.30556,0.259,0.04655999999999999
SST,Emobloom-7b,0.23611,0.379,-0.14289000000000002
SST,Emobloom-7b,0.34722,0.226,0.12121999999999997
SST,Emobloom-7b,0.375,0.375,0.0
SST,Emobloom-7b,0.4444399999999999,0.323,0.12143999999999988
SST,Emobloom-7b,0.59722,0.467,0.13021999999999995
SST,Emobloom-7b,0.069444,0.0,0.069444
SST,Emobloom-7b,0.29167,0.433,-0.14133
SST,Emobloom-7b,0.13889,0.355,-0.21610999999999997
SST,Emobloom-7b,0.25,0.375,-0.125
SST,Emobloom-7b,0.27778,0.333,-0.05521999999999999
SST,Emobloom-7b,0.097222,0.274,-0.17677800000000002
SST,Emobloom-7b,0.58333,0.516,0.06733
SST,Emobloom-7b,0.069444,0.207,-0.13755599999999998
SST,Emobloom-7b,0.23611,0.274,-0.037890000000000035
SST,Emobloom-7b,0.5,0.367,0.133
SST,Emobloom-7b,0.47222,0.2,0.27221999999999996
SST,Emobloom-7b,0.55556,0.419,0.13656000000000007
SST,Emobloom-7b,0.16667,0.278,-0.11133000000000001
SST,Emobloom-7b,0.58333,0.419,0.16433000000000003
SST,Emobloom-7b,0.5,0.414,0.08600000000000002
SST,Emobloom-7b,0.4444399999999999,0.417,0.02743999999999991
SST,Emobloom-7b,0.26389,0.345,-0.08110999999999996
SST,Emobloom-7b,0.36111,0.355,0.006110000000000004
SST,Emobloom-7b,0.375,0.242,0.133
SST,Emobloom-7b,0.31944,0.226,0.09344
SST,Emobloom-7b,0.40278,0.233,0.16978000000000001
SST,Emobloom-7b,0.29167,0.3,-0.008330000000000004
SST,Emobloom-7b,0.27778,0.328,-0.05021999999999999
SST,Emobloom-7b,0.27778,0.283,-0.005219999999999947
SST,Emobloom-7b,0.20833,0.355,-0.14667
SST,Emobloom-7b,0.27778,0.333,-0.05521999999999999
SST,Emobloom-7b,0.20833,0.226,-0.01767000000000002
SST,Emobloom-7b,0.27778,0.609,-0.33121999999999996
SST,Emobloom-7b,0.25,0.306,-0.055999999999999994
SST,Emobloom-7b,0.16667,0.433,-0.26632999999999996
SST,Emobloom-7b,0.20833,1.0,-0.79167
SST,Emobloom-7b,0.26389,0.458,-0.19411
SST,Emobloom-7b,0.29167,0.333,-0.04133000000000003
SST,Emobloom-7b,0.25,0.274,-0.02400000000000002
SST,Emobloom-7b,0.20833,0.274,-0.06567000000000003
SST,Emobloom-7b,0.23611,0.226,0.01010999999999998
SST,Emobloom-7b,0.375,0.259,0.11599999999999999
SST,Emobloom-7b,0.13889,0.375,-0.23611
SST,Emobloom-7b,0.5,0.391,0.10899999999999999
SST,Emobloom-7b,0.31944,0.297,0.022440000000000015
SST,Emobloom-7b,0.33333,0.467,-0.13367
SST,Emobloom-7b,0.23611,0.355,-0.11889
SST,Emobloom-7b,0.15278,0.258,-0.10522000000000001
SST,Emobloom-7b,0.27778,0.379,-0.10121999999999998
SST,Emobloom-7b,0.26389,0.375,-0.11110999999999999
SST,Emobloom-7b,0.47222,0.274,0.19821999999999995
SST,Emobloom-7b,0.29167,0.267,0.02466999999999997
SST,Emobloom-7b,0.125,0.328,-0.203
SST,Emobloom-7b,0.26389,0.433,-0.16910999999999998
SST,Emobloom-7b,0.22221999999999995,0.145,0.07721999999999996
SST,Emobloom-7b,0.27778,0.379,-0.10121999999999998
SST,Emobloom-7b,0.33333,0.483,-0.14966999999999997
SST,Emobloom-7b,0.47222,0.359,0.11321999999999999
SST,Emobloom-7b,0.25,0.229,0.02099999999999999
SST,Emobloom-7b,0.22221999999999995,0.233,-0.010780000000000067
SST,Emobloom-7b,0.41667,0.333,0.08366999999999997
SST,Emobloom-7b,0.23611,0.4,-0.16389000000000004
SST,Emobloom-7b,0.29167,0.379,-0.08733000000000002
SST,Emobloom-7b,0.48611,0.433,0.05310999999999999
SST,Emobloom-7b,0.20833,0.278,-0.06967000000000004
SST,Emobloom-7b,0.22221999999999995,0.167,0.055219999999999936
SST,Emobloom-7b,0.13889,0.297,-0.15810999999999997
SST,Emobloom-7b,0.20833,0.234,-0.025670000000000026
SST,Emobloom-7b,0.40278,0.297,0.10578000000000004
SST,Emobloom-7b,0.27778,0.379,-0.10121999999999998
SST,Emobloom-7b,0.81944,0.734,0.08543999999999996
SST,Emobloom-7b,0.33333,0.419,-0.08566999999999997
SST,Emobloom-7b,0.36111,0.226,0.13510999999999998
SST,Emobloom-7b,0.63889,0.275,0.36388999999999994
SST,Emobloom-7b,0.29167,0.355,-0.06333
SST,Emobloom-7b,0.375,0.55,-0.17500000000000004
SST,Emobloom-7b,0.18056,0.258,-0.07744000000000001
SST,Emobloom-7b,0.15278,0.333,-0.18022000000000002
SST,Emobloom-7b,0.47222,0.4,0.07221999999999995
SST,Emobloom-7b,0.34722,0.517,-0.16978000000000004
SST,Emobloom-7b,0.38889,0.226,0.16289
SST,Emobloom-7b,0.13889,0.403,-0.26411
SST,Emobloom-7b,0.097222,0.167,-0.069778
SST,Emobloom-7b,0.30556,0.355,-0.049439999999999984
SST,Emobloom-7b,0.40278,0.383,0.01978000000000002
SST,Emobloom-7b,0.51389,0.516,-0.0021100000000000563
SST,Emobloom-7b,0.33333,0.466,-0.13267
SST,Emobloom-7b,0.69444,0.548,0.1464399999999999
SST,Emobloom-7b,0.33333,0.345,-0.011669999999999958
SST,Emobloom-7b,0.47222,0.379,0.09321999999999997
SST,Emobloom-7b,0.30556,0.274,0.03155999999999998
SST,Emobloom-7b,0.52778,0.403,0.12478
SST,Emobloom-7b,0.40278,0.419,-0.016219999999999957
SST,Emobloom-7b,0.27778,0.194,0.08378000000000002
SST,Emobloom-7b,0.20833,0.379,-0.17067000000000002
SST,Emobloom-7b,0.22221999999999995,0.328,-0.10578000000000007
SST,Emobloom-7b,0.31944,0.355,-0.03555999999999998
SST,Emobloom-7b,0.4305600000000001,0.4,0.030560000000000087
SST,Emobloom-7b,0.45833,0.339,0.11932999999999999
SST,Emobloom-7b,0.16667,0.28,-0.11333000000000001
SST,Emobloom-7b,0.20833,0.516,-0.30767
SST,Emobloom-7b,0.33333,0.367,-0.03366999999999998
SST,Emobloom-7b,0.19444,0.328,-0.13356
SST,Emobloom-7b,0.55556,0.355,0.20056000000000007
SST,Emobloom-7b,0.22221999999999995,0.328,-0.10578000000000007
SST,Emobloom-7b,0.48611,0.328,0.15810999999999997
SST,Emobloom-7b,0.18056,0.362,-0.18144
SST,Emobloom-7b,0.22221999999999995,0.362,-0.13978000000000004
SST,Emobloom-7b,0.23611,0.278,-0.04189000000000004
SST,Emobloom-7b,0.13889,0.161,-0.02210999999999999
SST,Emobloom-7b,0.22221999999999995,0.229,-0.006780000000000064
SST,Emobloom-7b,0.76389,0.694,0.06989000000000001
SST,Emobloom-7b,0.125,0.328,-0.203
SST,Emobloom-7b,0.29167,0.312,-0.020330000000000015
SST,Emobloom-7b,0.4444399999999999,0.387,0.05743999999999988
SST,Emobloom-7b,0.5,0.258,0.242
SST,Emobloom-7b,0.26389,0.375,-0.11110999999999999
SST,Emobloom-7b,0.23611,0.355,-0.11889
SST,Emobloom-7b,0.36111,0.383,-0.02189000000000002
SST,Emobloom-7b,0.23611,0.419,-0.18289
SST,Emobloom-7b,0.29167,0.274,0.017669999999999964
SST,Emobloom-7b,0.4305600000000001,0.259,0.1715600000000001
SST,Emobloom-7b,0.47222,0.333,0.13921999999999995
SST,Emobloom-7b,0.33333,0.333,0.00032999999999999696
SST,Emobloom-7b,0.76389,0.771,-0.007110000000000061
SST,Emobloom-7b,0.34722,0.359,-0.011780000000000013
SST,Emobloom-7b,0.22221999999999995,0.375,-0.15278000000000005
SST,Emobloom-7b,0.19444,0.466,-0.27156
SST,Emobloom-7b,0.20833,0.419,-0.21067
SST,Emobloom-7b,0.30556,0.375,-0.06944
SST,Emobloom-7b,0.27778,0.411,-0.13321999999999995
SST,Emobloom-7b,0.26389,0.466,-0.20211
SST,Emobloom-7b,0.30556,0.333,-0.02744000000000002
SST,Emobloom-7b,0.26389,0.274,-0.010110000000000008
SST,Emobloom-7b,0.19444,0.333,-0.13856000000000002
SST,Emobloom-7b,0.69444,0.548,0.1464399999999999
SST,Emobloom-7b,0.36111,0.355,0.006110000000000004
SST,Emobloom-7b,0.33333,0.375,-0.041669999999999985
SST,Emobloom-7b,0.125,0.355,-0.22999999999999998
SST,Emobloom-7b,0.25,0.367,-0.11699999999999999
SST,Emobloom-7b,0.125,0.125,0.0
SST,Emobloom-7b,0.4305600000000001,0.419,0.011560000000000126
SST,Emobloom-7b,0.54167,0.359,0.18267
SST,Emobloom-7b,0.29167,0.226,0.06566999999999998
SST,Emobloom-7b,0.375,0.391,-0.016000000000000014
SST,Emobloom-7b,0.41667,0.38,0.03666999999999998
SST,Emobloom-7b,0.15278,0.419,-0.26622
SST,Emobloom-7b,0.26389,0.113,0.15089000000000002
SST,Emobloom-7b,0.58333,0.339,0.24433
SST,Emobloom-7b,0.26389,0.359,-0.09510999999999997
SST,Emobloom-7b,0.31944,0.367,-0.04755999999999999
SST,Emobloom-7b,0.54167,0.452,0.08966999999999997
SST,Emobloom-7b,0.54167,0.516,0.02566999999999997
SST,Emobloom-7b,0.27778,0.328,-0.05021999999999999
SST,Emobloom-7b,0.31944,0.345,-0.02555999999999997
SST,Emobloom-7b,0.23611,0.274,-0.037890000000000035
SST,Emobloom-7b,0.30556,0.328,-0.022440000000000015
SST,Emobloom-7b,0.19444,0.414,-0.21955999999999998
SST,Emobloom-7b,0.13889,0.292,-0.15310999999999997
SST,Emobloom-7b,0.5,0.5,0.0
SST,Emobloom-7b,0.097222,0.4,-0.302778
SST,Emobloom-7b,0.20833,0.274,-0.06567000000000003
SST,Emobloom-7b,0.18056,0.0,0.18056
SST,Emobloom-7b,0.069444,0.233,-0.163556
SST,Emobloom-7b,0.23611,0.167,0.06910999999999998
SST,Emobloom-7b,0.13889,0.155,-0.016109999999999985
SST,Emobloom-7b,0.23611,0.328,-0.09189000000000003
SST,Emobloom-7b,0.25,0.333,-0.08300000000000002
SST,Emobloom-7b,0.47222,0.383,0.08921999999999997
SST,Emobloom-7b,0.63889,0.383,0.25588999999999995
SST,Emobloom-7b,0.40278,0.483,-0.08021999999999996
SST,Emobloom-7b,0.26389,0.359,-0.09510999999999997
SST,Emobloom-7b,0.52778,0.4,0.12778
SST,Emobloom-7b,0.4444399999999999,0.292,0.1524399999999999
SST,Emobloom-7b,0.20833,0.403,-0.19467000000000004
SST,Emobloom-7b,0.26389,0.355,-0.09110999999999997
SST,Emobloom-7b,0.30556,0.391,-0.08544000000000002
SST,Emobloom-7b,0.15278,0.333,-0.18022000000000002
SST,Emobloom-7b,0.27778,0.375,-0.09721999999999997
SST,Emobloom-7b,0.083333,0.333,-0.24966700000000003
SST,Emobloom-7b,0.125,0.233,-0.10800000000000001
SST,Emobloom-7b,0.18056,0.258,-0.07744000000000001
SST,Emobloom-7b,0.125,0.234,-0.10900000000000001
SST,Emobloom-7b,0.375,0.433,-0.057999999999999996
SST,Emobloom-7b,0.27778,0.0,0.27778
SST,Emobloom-7b,0.23611,0.226,0.01010999999999998
SST,Emobloom-7b,0.38889,0.466,-0.07711000000000001
SST,Emobloom-7b,0.25,0.352,-0.10199999999999998
SST,Emobloom-7b,0.26389,0.274,-0.010110000000000008
SST,Emobloom-7b,0.19444,0.383,-0.18856
SST,Emobloom-7b,0.125,0.258,-0.133
SST,Emobloom-7b,0.45833,0.259,0.19933
SST,Emobloom-7b,0.27778,0.2,0.07778000000000002
SST,Emobloom-7b,0.38889,0.536,-0.14711000000000002
SST,Emobloom-7b,0.47222,0.419,0.05321999999999999
SST,Emobloom-7b,0.19444,0.259,-0.06456
SST,Emobloom-7b,0.45833,0.479,-0.020669999999999966
SST,Emobloom-7b,0.16667,0.383,-0.21633
SST,Emobloom-7b,0.20833,0.315,-0.10667000000000001
SST,Emobloom-7b,0.30556,0.258,0.04755999999999999
SST,Emobloom-7b,0.33333,0.328,0.005330000000000001
SST,Emobloom-7b,0.33333,0.419,-0.08566999999999997
SST,Emobloom-7b,0.41667,0.419,-0.0023299999999999987
SST,Emobloom-7b,0.31944,0.274,0.04543999999999998
SST,Emobloom-7b,0.25,0.274,-0.02400000000000002
SST,Emobloom-7b,0.097222,0.234,-0.136778
SST,Emobloom-7b,0.23611,0.226,0.01010999999999998
SST,Emobloom-7b,0.40278,0.479,-0.07621999999999995
SST,Emobloom-7b,0.16667,0.0,0.16667
SST,Emobloom-7b,0.33333,0.355,-0.021669999999999967
SST,Emobloom-7b,0.38889,0.333,0.055889999999999995
SST,Emobloom-7b,0.23611,0.375,-0.13889
SST,Emobloom-7b,0.069444,0.278,-0.20855600000000002
SST,Emobloom-7b,0.055555999999999994,0.226,-0.170444
SST,Emobloom-7b,0.0,0.0,0.0
SST,Emobloom-7b,0.31944,0.379,-0.05956
SST,Emobloom-7b,0.38889,0.433,-0.04410999999999998
SST,Emobloom-7b,0.4305600000000001,0.367,0.06356000000000012
SST,Emobloom-7b,0.23611,0.333,-0.09689000000000003
SST,Emobloom-7b,0.36111,0.274,0.08710999999999997
SST,Emobloom-7b,0.20833,0.274,-0.06567000000000003
SST,Emobloom-7b,0.51389,0.355,0.15888999999999998
SST,Emobloom-7b,0.20833,0.217,-0.008670000000000011
SST,Emobloom-7b,0.27778,0.148,0.12978000000000003
SST,Emobloom-7b,0.13889,0.419,-0.28010999999999997
SST,Emobloom-7b,0.22221999999999995,0.36,-0.13778000000000004
SST,Emobloom-7b,0.63889,0.483,0.15588999999999997
SST,Emobloom-7b,0.79167,0.387,0.40467
SST,Emobloom-7b,0.20833,0.339,-0.13067000000000004
SST,Emobloom-7b,0.27778,0.383,-0.10521999999999998
SST,Emobloom-7b,0.5,0.375,0.125
SST,Emobloom-7b,0.16667,0.34,-0.17333
SST,Emobloom-7b,0.36111,0.333,0.02810999999999997
SST,Emobloom-7b,0.19444,0.463,-0.26856
SST,Emobloom-7b,0.34722,0.367,-0.01978000000000002
SST,Emobloom-7b,0.38889,0.328,0.06089
SST,Emobloom-7b,0.5,0.419,0.08100000000000002
SST,Emobloom-7b,0.36111,0.274,0.08710999999999997
SST,Emobloom-7b,0.33333,0.355,-0.021669999999999967
SST,Emobloom-7b,0.18056,0.297,-0.11643999999999999
SST,Emobloom-7b,0.16667,0.167,-0.00032999999999999696
SST,Emobloom-7b,0.4305600000000001,0.359,0.07156000000000012
SST,Emobloom-7b,0.375,0.31,0.065
SST,Emobloom-7b,0.097222,0.0,0.097222
SST,Emobloom-7b,0.29167,0.275,0.016669999999999963
SST,Emobloom-7b,0.0,0.141,-0.141
SST,Emobloom-7b,0.26389,0.355,-0.09110999999999997
SST,Emobloom-7b,0.19444,0.155,0.03944
SST,Emobloom-7b,0.22221999999999995,0.435,-0.21278000000000005
SST,Emobloom-7b,0.18056,0.229,-0.04844000000000001
SST,Emobloom-7b,0.47222,0.258,0.21421999999999997
SST,Emobloom-7b,0.25,0.274,-0.02400000000000002
SST,Emobloom-7b,0.38889,0.274,0.11488999999999999
SST,Emobloom-7b,0.19444,0.275,-0.08056000000000002
SST,Emobloom-7b,0.34722,0.263,0.08421999999999996
SST,Emobloom-7b,0.30556,0.167,0.13856
SST,Emobloom-7b,0.77778,0.654,0.12378
SST,Emobloom-7b,0.91667,0.722,0.19467
SST,Emobloom-7b,0.88889,0.742,0.14688999999999997
SST,Emobloom-7b,0.625,0.517,0.10799999999999998
SST,Emobloom-7b,0.069444,0.141,-0.07155599999999998
SST,Emollama-7b,0.51389,0.483,0.030889999999999973
SST,Emollama-7b,0.73611,0.678,0.058109999999999995
SST,Emollama-7b,0.86111,0.569,0.2921100000000001
SST,Emollama-7b,0.59722,0.586,0.011220000000000008
SST,Emollama-7b,0.8333299999999999,0.673,0.16032999999999986
SST,Emollama-7b,0.69444,0.435,0.25943999999999995
SST,Emollama-7b,0.77778,0.532,0.24578
SST,Emollama-7b,0.73611,0.5,0.23611000000000004
SST,Emollama-7b,0.76389,0.634,0.12988999999999995
SST,Emollama-7b,0.90278,0.683,0.21977999999999998
SST,Emollama-7b,0.625,0.65,-0.025000000000000022
SST,Emollama-7b,0.77778,0.683,0.09477999999999998
SST,Emollama-7b,0.93056,0.733,0.19756000000000007
SST,Emollama-7b,0.45833,0.483,-0.02466999999999997
SST,Emollama-7b,0.77778,0.567,0.21078000000000008
SST,Emollama-7b,0.47222,0.5,-0.027780000000000027
SST,Emollama-7b,0.97222,0.683,0.2892199999999999
SST,Emollama-7b,0.76389,0.584,0.17989
SST,Emollama-7b,0.88889,0.683,0.2058899999999999
SST,Emollama-7b,0.81944,0.621,0.19843999999999995
SST,Emollama-7b,0.86111,0.536,0.32511
SST,Emollama-7b,0.58333,0.563,0.02033000000000007
SST,Emollama-7b,0.73611,0.5,0.23611000000000004
SST,Emollama-7b,0.72222,0.621,0.10121999999999998
SST,Emollama-7b,0.77778,0.563,0.21478000000000008
SST,Emollama-7b,0.68056,0.683,-0.0024399999999999977
SST,Emollama-7b,0.73611,0.483,0.25311000000000006
SST,Emollama-7b,0.25,0.396,-0.14600000000000002
SST,Emollama-7b,0.76389,0.534,0.22988999999999993
SST,Emollama-7b,0.8333299999999999,0.583,0.25032999999999994
SST,Emollama-7b,0.90278,0.683,0.21977999999999998
SST,Emollama-7b,0.59722,0.532,0.06521999999999994
SST,Emollama-7b,0.69444,0.483,0.21143999999999996
SST,Emollama-7b,0.75,0.569,0.18100000000000005
SST,Emollama-7b,0.33333,0.397,-0.06367
SST,Emollama-7b,0.69444,0.583,0.11143999999999998
SST,Emollama-7b,0.625,0.328,0.297
SST,Emollama-7b,0.65278,0.584,0.06878000000000006
SST,Emollama-7b,0.31944,0.5,-0.18056
SST,Emollama-7b,0.40278,0.426,-0.023219999999999963
SST,Emollama-7b,0.90278,0.645,0.25778
SST,Emollama-7b,0.11111,0.35,-0.23889
SST,Emollama-7b,0.81944,0.65,0.16943999999999992
SST,Emollama-7b,0.97222,0.6,0.37222
SST,Emollama-7b,0.70833,0.645,0.06333
SST,Emollama-7b,0.58333,0.65,-0.06667000000000001
SST,Emollama-7b,0.98611,0.762,0.22411000000000003
SST,Emollama-7b,0.77778,0.645,0.13278
SST,Emollama-7b,0.80556,0.589,0.21656000000000009
SST,Emollama-7b,0.65278,0.638,0.014780000000000015
SST,Emollama-7b,0.77778,0.569,0.20878000000000008
SST,Emollama-7b,0.65278,0.569,0.08378000000000008
SST,Emollama-7b,0.76389,0.645,0.11888999999999994
SST,Emollama-7b,0.875,0.672,0.20299999999999996
SST,Emollama-7b,0.79167,0.63,0.16166999999999998
SST,Emollama-7b,0.75,0.683,0.06699999999999995
SST,Emollama-7b,0.73611,0.75,-0.013889999999999958
SST,Emollama-7b,0.54167,0.534,0.007669999999999955
SST,Emollama-7b,0.66667,0.621,0.04566999999999999
SST,Emollama-7b,0.77778,0.563,0.21478000000000008
SST,Emollama-7b,0.54167,0.483,0.05867
SST,Emollama-7b,0.66667,0.483,0.18367
SST,Emollama-7b,0.70833,0.6,0.10833000000000004
SST,Emollama-7b,0.52778,0.483,0.04478000000000004
SST,Emollama-7b,0.34722,0.583,-0.23578
SST,Emollama-7b,0.75,0.483,0.267
SST,Emollama-7b,0.80556,0.586,0.2195600000000001
SST,Emollama-7b,0.875,0.732,0.14300000000000002
SST,Emollama-7b,0.91667,0.673,0.24366999999999994
SST,Emollama-7b,0.8333299999999999,0.534,0.2993299999999999
SST,Emollama-7b,0.51389,0.5,0.013889999999999958
SST,Emollama-7b,0.93056,0.875,0.055560000000000054
SST,Emollama-7b,0.91667,0.783,0.13366999999999996
SST,Emollama-7b,0.90625,0.75,0.15625
SST,Emollama-7b,0.61111,0.435,0.17611000000000004
SST,Emollama-7b,0.36111,0.375,-0.013890000000000013
SST,Emollama-7b,1.0,0.75,0.25
SST,Emollama-7b,0.66667,0.567,0.09967000000000004
SST,Emollama-7b,0.76389,0.548,0.21588999999999992
SST,Emollama-7b,0.52778,0.583,-0.055219999999999936
SST,Emollama-7b,0.61111,0.563,0.0481100000000001
SST,Emollama-7b,0.8472200000000001,0.534,0.31322000000000005
SST,Emollama-7b,0.72222,0.563,0.15922000000000003
SST,Emollama-7b,0.68056,0.567,0.1135600000000001
SST,Emollama-7b,0.93056,0.763,0.16756000000000004
SST,Emollama-7b,0.86111,0.683,0.17811
SST,Emollama-7b,0.8472200000000001,0.569,0.27822000000000013
SST,Emollama-7b,0.80556,0.534,0.27156
SST,Emollama-7b,0.76389,0.532,0.23188999999999993
SST,Emollama-7b,0.73611,0.534,0.20211
SST,Emollama-7b,0.375,0.534,-0.15900000000000003
SST,Emollama-7b,0.75,0.548,0.20199999999999996
SST,Emollama-7b,0.19444,0.426,-0.23156
SST,Emollama-7b,0.68056,0.5,0.18056000000000005
SST,Emollama-7b,0.73611,0.483,0.25311000000000006
SST,Emollama-7b,0.81944,0.683,0.1364399999999999
SST,Emollama-7b,0.4444399999999999,0.534,-0.08956000000000014
SST,Emollama-7b,0.90278,0.75,0.15278000000000003
SST,Emollama-7b,0.66667,0.467,0.19966999999999996
SST,Emollama-7b,0.875,0.586,0.28900000000000003
SST,Emollama-7b,0.61111,0.5,0.11111000000000004
SST,Emollama-7b,0.70833,0.569,0.13933000000000006
SST,Emollama-7b,0.8333299999999999,0.673,0.16032999999999986
SST,Emollama-7b,0.625,0.673,-0.04800000000000004
SST,Emollama-7b,0.77778,0.683,0.09477999999999998
SST,Emollama-7b,0.97222,0.583,0.38922
SST,Emollama-7b,0.79167,0.6,0.19167
SST,Emollama-7b,0.94444,0.764,0.18043999999999993
SST,Emollama-7b,0.63889,0.683,-0.044110000000000094
SST,Emollama-7b,0.76389,0.678,0.08588999999999991
SST,Emollama-7b,0.58333,0.483,0.10033000000000003
SST,Emollama-7b,0.59722,0.583,0.01422000000000001
SST,Emollama-7b,0.86111,0.645,0.21611000000000002
SST,Emollama-7b,0.76389,0.563,0.20089
SST,Emollama-7b,0.5,0.482,0.018000000000000016
SST,Emollama-7b,0.8333299999999999,0.673,0.16032999999999986
SST,Emollama-7b,0.73611,0.586,0.15011000000000008
SST,Emollama-7b,0.26389,0.5,-0.23611
SST,Emollama-7b,0.79167,0.645,0.14666999999999997
SST,Emollama-7b,0.54167,0.567,-0.025329999999999964
SST,Emollama-7b,0.63889,0.583,0.055889999999999995
SST,Emollama-7b,0.88889,0.645,0.24388999999999994
SST,Emollama-7b,0.90278,0.645,0.25778
SST,Emollama-7b,0.8333299999999999,0.679,0.15432999999999986
SST,Emollama-7b,0.5,0.426,0.07400000000000001
SST,Emollama-7b,0.68056,0.467,0.21356000000000003
SST,Emollama-7b,0.70833,0.532,0.17633
SST,Emollama-7b,0.88889,0.62,0.26888999999999996
SST,Emollama-7b,0.77778,0.569,0.20878000000000008
SST,Emollama-7b,0.70833,0.589,0.11933000000000005
SST,Emollama-7b,0.25,0.426,-0.176
SST,Emollama-7b,0.86111,0.683,0.17811
SST,Emollama-7b,0.8472200000000001,0.65,0.19722000000000006
SST,Emollama-7b,0.72222,0.563,0.15922000000000003
SST,Emollama-7b,0.90278,0.674,0.22877999999999998
SST,Emollama-7b,0.73611,0.672,0.06411
SST,Emollama-7b,0.80556,0.673,0.13256
SST,Emollama-7b,0.79167,0.567,0.22467000000000004
SST,Emollama-7b,0.61111,0.458,0.15311000000000002
SST,Emollama-7b,0.81944,0.569,0.25044
SST,Emollama-7b,0.66667,0.548,0.11866999999999994
SST,Emollama-7b,0.29167,0.483,-0.19133
SST,Emollama-7b,0.70833,0.65,0.05832999999999999
SST,Emollama-7b,0.79167,0.638,0.15366999999999997
SST,Emollama-7b,0.69444,0.583,0.11143999999999998
SST,Emollama-7b,0.72222,0.483,0.23922
SST,Emollama-7b,0.81944,0.621,0.19843999999999995
SST,Emollama-7b,0.86111,0.724,0.13711000000000007
SST,Emollama-7b,0.625,0.583,0.04200000000000004
SST,Emollama-7b,0.72222,0.583,0.13922
SST,Emollama-7b,0.68056,0.683,-0.0024399999999999977
SST,Emollama-7b,0.77778,0.641,0.13678
SST,Emollama-7b,0.70833,0.536,0.17232999999999998
SST,Emollama-7b,0.25,0.354,-0.10399999999999998
SST,Emollama-7b,0.8472200000000001,0.645,0.20222000000000007
SST,Emollama-7b,0.90278,0.65,0.25278
SST,Emollama-7b,0.80556,0.583,0.2225600000000001
SST,Emollama-7b,0.23611,0.35,-0.11388999999999999
SST,Emollama-7b,0.86111,0.645,0.21611000000000002
SST,Emollama-7b,0.77778,0.532,0.24578
SST,Emollama-7b,0.77778,0.65,0.12778
SST,Emollama-7b,0.68056,0.594,0.08656000000000008
SST,Emollama-7b,0.75,0.583,0.16700000000000004
SST,Emollama-7b,0.77778,0.569,0.20878000000000008
SST,Emollama-7b,0.8333299999999999,0.621,0.2123299999999999
SST,Emollama-7b,0.79167,0.683,0.10866999999999993
SST,Emollama-7b,0.55556,0.534,0.021560000000000024
SST,Emollama-7b,0.61111,0.45,0.16111000000000003
SST,Emollama-7b,0.76389,0.583,0.18089
SST,Emollama-7b,0.72222,0.645,0.07721999999999996
SST,Emollama-7b,0.77778,0.583,0.19478000000000006
SST,Emollama-7b,0.4305600000000001,0.567,-0.13643999999999984
SST,Emollama-7b,0.875,0.563,0.31200000000000006
SST,Emollama-7b,0.93056,0.583,0.3475600000000001
SST,Emollama-7b,0.8333299999999999,0.633,0.2003299999999999
SST,Emollama-7b,0.79167,0.645,0.14666999999999997
SST,Emollama-7b,0.8333299999999999,0.583,0.25032999999999994
SST,Emollama-7b,0.5,0.483,0.017000000000000015
SST,Emollama-7b,0.76389,0.641,0.12288999999999994
SST,Emollama-7b,0.95833,0.762,0.19633
SST,Emollama-7b,0.88889,0.783,0.10588999999999993
SST,Emollama-7b,0.083333,0.325,-0.24166700000000002
SST,Emollama-7b,0.8472200000000001,0.65,0.19722000000000006
SST,Emollama-7b,0.75,0.683,0.06699999999999995
SST,Emollama-7b,0.76389,0.673,0.09088999999999992
SST,Emollama-7b,0.625,0.462,0.16299999999999998
SST,Emollama-7b,0.40278,0.548,-0.14522000000000002
SST,Emollama-7b,0.70833,0.683,0.025329999999999964
SST,Emollama-7b,0.80556,0.766,0.03956000000000004
SST,Emollama-7b,0.86111,0.732,0.12911000000000006
SST,Emollama-7b,0.81944,0.683,0.1364399999999999
SST,Emollama-7b,0.69444,0.532,0.16243999999999992
SST,Emollama-7b,0.8333299999999999,0.783,0.050329999999999875
SST,Emollama-7b,0.66667,0.467,0.19966999999999996
SST,Emollama-7b,0.90278,0.6,0.30278000000000005
SST,Emollama-7b,0.77778,0.683,0.09477999999999998
SST,Emollama-7b,0.625,0.563,0.062000000000000055
SST,Emollama-7b,0.8333299999999999,0.733,0.10032999999999992
SST,Emollama-7b,0.75,0.548,0.20199999999999996
